SG_PARTIDO,SG_UF,NM_URNA_CANDIDATO,NM_CANDIDATO,ELEITO_ANTERIOR,DS_GENERO,DS_COR_RACA,receita_total,QT_VOTOS_NOMINAIS,POSICAO,QT_VAGAS,ELEITO_REAL,ELEITO_DISTRITAO,DS_SIT_TOT_TURNO
Republicanos,AC,PASTOR MANUEL MARCOS,MANUEL MARCOS CARVALHO DE MESQUITA,1a ELEIÇÃO,MASCULINO,PARDA,850000.0,7489,18,8,1,0,ELEITO POR MÉDIA
MDB,RS,OSMAR TERRA,OSMAR GASPARINI TERRA,REELEITO,MASCULINO,BRANCA,1682264.1,86305,24,31,1,1,ELEITO POR MÉDIA
PSL,RJ,HELIO FERNANDO BARBOSA LOPES,HELIO FERNANDO BARBOSA LOPES,1a ELEIÇÃO,MASCULINO,PRETA,78717.5,345234,1,46,1,1,ELEITO POR QP
PSDB,MG,EDUARDO BARBOSA,EDUARDO LUIZ BARROS BARBOSA,REELEITO,MASCULINO,BRANCA,1262786.03,105969,20,53,1,1,ELEITO POR QP
Cidadania,SC,CARMEN ZANOTTO,CARMEN EMILIA BONFÁ ZANOTTO,REELEITO,FEMININO,BRANCA,1244707.48,84703,9,16,1,1,ELEITO POR MÉDIA
PSL,RO,CORONEL CHRISÓSTOMO,JOAO CHRISÓSTOMO DE MOURA,1a ELEIÇÃO,MASCULINO,PARDA,50300.0,28344,9,8,1,0,ELEITO POR MÉDIA
MDB,PE,RAUL HENRY,RAUL JEAN LOUIS HENRY JUNIOR,1a ELEIÇÃO,MASCULINO,BRANCA,1071511.34,87585,14,25,1,1,ELEITO POR QP
PL,GO,MAGDA MOFATTO,MAGDA MOFATTO HON,REELEITO,FEMININO,BRANCA,2371063.48,88894,8,17,1,1,ELEITO POR QP
Solidariedade,MT,DR LEONARDO,LEONARDO RIBEIRO ALBUQUERQUE,1a ELEIÇÃO,MASCULINO,BRANCA,1121791.3,52335,7,8,1,1,ELEITO POR QP
Republicanos,RJ,WAGNER MONTES,WAGNER MONTES DOS SANTOS,1a ELEIÇÃO,MASCULINO,BRANCA,773078.5,65868,16,46,1,1,ELEITO POR QP
PT,PE,MARÍLIA ARRAES,MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,1a ELEIÇÃO,FEMININO,BRANCA,1283597.9500000002,193108,2,25,1,1,ELEITO POR QP
Progressistas,AL,ARTHUR LIRA,ARTHUR CESAR PEREIRA DE LIRA,REELEITO,MASCULINO,PARDA,1741793.16,143858,2,9,1,1,ELEITO POR QP
PT,SP,PAULO TEIXEIRA,LUIZ PAULO TEIXEIRA FERREIRA,REELEITO,MASCULINO,BRANCA,1783998.52,78512,59,70,1,1,ELEITO POR QP
PSL,PR,ALINE SLEUTJES,ALINE SLEUTJES,1a ELEIÇÃO,FEMININO,BRANCA,101260.35,33628,46,30,1,0,ELEITO POR QP
DEM,BA,ALELUIA,JOSÉ CARLOS ALELUIA COSTA,REELEITO,MASCULINO,BRANCA,1189025.5,68257,37,39,0,1,SUPLENTE
MDB,PR,SÉRGIO SOUZA,SERGIO DE SOUZA,REELEITO,MASCULINO,BRANCA,1870944.05,94077,15,30,1,1,ELEITO POR QP
PSD,PR,EVANDRO ROMAN,EVANDRO ROGERIO ROMAN,REELEITO,MASCULINO,BRANCA,1748172.46,67909,29,30,0,1,SUPLENTE
PL,PR,CHRISTIANE YARED,CHRISTIANE DE SOUZA YARED,REELEITO,FEMININO,BRANCA,2499683.3200000008,107636,11,30,1,1,ELEITO POR QP
MDB,AC,JÉSSICA SALES,JESSICA ROJAS SALES,REELEITO,FEMININO,PARDA,2409200.0,28717,2,8,1,1,ELEITO POR QP
PT,GO,RUBENS OTONI,RUBENS OTONI GOMIDE,REELEITO,MASCULINO,BRANCA,920713.82,83063,10,17,1,1,ELEITO POR MÉDIA
PV,DF,PROFESSOR ISRAEL,ISRAEL MATOS BATISTA,1a ELEIÇÃO,MASCULINO,BRANCA,697295.3,67598,5,8,1,1,ELEITO POR QP
PL,TO,VICENTINHO JUNIOR,VICENTE ALVES DE OLIVEIRA JUNIOR,REELEITO,MASCULINO,PARDA,1392484.0,49868,3,8,1,1,ELEITO POR QP
PSDB,PB,PEDRO CUNHA LIMA,PEDRO OLIVEIRA CUNHA LIMA,REELEITO,MASCULINO,BRANCA,1268604.15,76754,8,12,1,1,ELEITO POR QP
PSOL,SP,SÂMIA BOMFIM,SAMIA DE SOUZA BOMFIM,1a ELEIÇÃO,FEMININO,BRANCA,369320.59,249887,8,70,1,1,ELEITO POR QP
Progressistas,PE,EDUARDO DA FONTE,EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,REELEITO,MASCULINO,BRANCA,2033433.15,113640,9,25,1,1,ELEITO POR QP
PL,RJ,ALTINEU CORTES,ALTINEU CORTES FREITAS COUTINHO,REELEITO,MASCULINO,PARDA,1368651.41,55367,24,46,1,1,ELEITO POR QP
PSL,SC,FABIO SCHIOCHET,FABIO LUIZ SCHIOCHET FILHO,1a ELEIÇÃO,MASCULINO,BRANCA,244955.72,87345,7,16,1,1,ELEITO POR QP
Republicanos,BA,TIA ERON,ERONILDES VASCONCELOS CARVALHO,REELEITO,FEMININO,PRETA,1674360.6,69153,36,39,0,1,SUPLENTE
PSL,CE,HEITOR FREIRE,HEITOR RODRIGO PEREIRA FREIRE,1a ELEIÇÃO,MASCULINO,BRANCA,64280.0,97201,18,22,1,1,ELEITO POR MÉDIA
Podemos,MG,IGOR TIMO,IGOR TARCIANO TIMO,1a ELEIÇÃO,MASCULINO,PARDA,2117666.69,60509,48,53,1,1,ELEITO POR QP
PDT,RS,MARLON SANTOS,MARLON ARATOR SANTOS DA ROSA,1a ELEIÇÃO,MASCULINO,BRANCA,205720.0,116483,6,31,1,1,ELEITO POR QP
PSDB,MG,CARLOS MOSCONI,CARLOS EDUARDO VENTURELLI MOSCONI,1a ELEIÇÃO,MASCULINO,BRANCA,938146.03,65362,41,53,0,1,SUPLENTE
PTB,AL,NIVALDO ALBUQUERQUE,NIVALDO FERREIRA DE ALBUQUERQUE NETO,1a ELEIÇÃO,MASCULINO,BRANCA,1282622.5,84956,5,9,1,1,ELEITO POR QP
PL,SP,TIRIRICA,FRANCISCO EVERARDO OLIVEIRA SILVA,REELEITO,MASCULINO,PARDA,1203200.0,453855,5,70,1,1,ELEITO POR QP
PT,PA,BETO FARO,JOSE ROBERTO OLIVEIRA FARO,REELEITO,MASCULINO,PARDA,923100.0,143822,10,17,1,1,ELEITO POR QP
Progressistas,AM,ATILA LINS,ATILA SIDNEY LINS DE ALBUQUERQUE,REELEITO,MASCULINO,BRANCA,2029855.21,118700,3,8,1,1,ELEITO POR QP
NOVO,MG,LUCAS GONZALEZ,LUCAS DE VASCONCELOS GONZALEZ,1a ELEIÇÃO,MASCULINO,BRANCA,664682.4299999999,64022,43,53,1,1,ELEITO POR QP
Progressistas,MG,PINHEIRINHO,ANTÔNIO PINHEIRO NETO,1a ELEIÇÃO,MASCULINO,BRANCA,2139422.05,98404,25,53,1,1,ELEITO POR QP
PSDB,PR,ROSSONI,VALDIR LUIZ ROSSONI,REELEITO,MASCULINO,BRANCA,1214245.23,72096,27,30,0,1,SUPLENTE
PSB,ES,FOLETTO,PAULO ROBERTO FOLETTO,REELEITO,MASCULINO,BRANCA,1368067.53,55957,8,10,1,1,ELEITO POR MÉDIA
PROS,AP,ACÁCIO FAVACHO,ACÁCIO DA SILVA FAVACHO NETO,1a ELEIÇÃO,MASCULINO,BRANCA,807712.3,19111,2,8,1,1,ELEITO POR QP
PSDB,PB,RUY CARNEIRO,RUY MANUEL CARNEIRO BARBOSA DE AÇA BELCHIOR,1a ELEIÇÃO,MASCULINO,BRANCA,997111.64,61259,12,12,1,1,ELEITO POR MÉDIA
PSD,PR,SANDRO ALEX,SANDRO ALEX CRUZ DE OLIVEIRA,REELEITO,MASCULINO,BRANCA,1336875.0,124512,5,30,1,1,ELEITO POR QP
Republicanos,RS,CARLOS GOMES,ANTONIO CARLOS GOMES DA SILVA,REELEITO,MASCULINO,BRANCA,902764.35,103373,11,31,1,1,ELEITO POR QP
PL,RJ,SORAYA SANTOS,SORAYA ALENCAR DOS SANTOS,REELEITO,FEMININO,BRANCA,2415096.0,48328,31,46,1,1,ELEITO POR QP
PT,MT,PROFESSORA ROSA NEIDE,ROSA NEIDE SANDES DE ALMEIDA,1a ELEIÇÃO,FEMININO,BRANCA,849716.97,51015,8,8,1,1,ELEITO POR MÉDIA
PSL,MT,VICTÓRIO GALLI,VICTORIO GALLI FILHO,REELEITO,MASCULINO,BRANCA,722277.64,52947,6,8,0,1,SUPLENTE
PT,CE,LUIZIANNE,LUIZIANNE DE OLIVEIRA LINS,REELEITO,FEMININO,BRANCA,1020720.0,173777,3,22,1,1,ELEITO POR QP
MDB,RS,ALCEU MOREIRA,ALCEU MOREIRA DA SILVA,REELEITO,MASCULINO,BRANCA,1999910.32,100341,16,31,1,1,ELEITO POR QP
PSDB,MS,BETO PEREIRA,HUMBERTO REZENDE PEREIRA,1a ELEIÇÃO,MASCULINO,PARDA,833539.3000000005,80500,3,8,1,1,ELEITO POR QP
Progressistas,SE,LAERCIO OLIVEIRA,LAERCIO JOSE DE OLIVEIRA,REELEITO,MASCULINO,BRANCA,1774533.5799999996,68014,2,8,1,1,ELEITO POR QP
Avante,BA,PASTOR SARGENTO ISIDÓRIO,MANOEL ISIDORIO DE SANTANA JUNIOR,1a ELEIÇÃO,MASCULINO,PRETA,708069.9800000002,323264,1,39,1,1,ELEITO POR QP
PSB,MA,BIRA DO PINDARÉ,UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,1a ELEIÇÃO,MASCULINO,PRETA,573580.0,99598,11,18,1,1,ELEITO POR QP
PROS,PE,JOÃO FERNANDO COUTINHO,JOÃO FERNANDO PONTUAL COUTINHO,REELEITO,MASCULINO,BRANCA,1327366.38,63939,23,25,0,1,SUPLENTE
PSDB,AM,CONCEIÇÃO SAMPAIO,MARIA DA CONCEIÇÃO SAMPAIO MOURA,REELEITO,FEMININO,PARDA,2131609.6,76073,8,8,0,1,SUPLENTE
DEM,RJ,PEDRO PAULO,PEDRO PAULO CARVALHO TEIXEIRA,REELEITO,MASCULINO,BRANCA,1637051.3000000003,56646,23,46,1,1,ELEITO POR QP
PT,PA,AIRTON FALEIRO,AIRTON LUIZ FALEIRO,1a ELEIÇÃO,MASCULINO,BRANCA,604750.0,106965,13,17,1,1,ELEITO POR MÉDIA
PSD,MG,STEFANO AGUIAR,STEFANO AGUIAR DOS SANTOS,REELEITO,MASCULINO,BRANCA,375073.75,115795,15,53,1,1,ELEITO POR QP
Progressistas,PI,IRACEMA PORTELLA,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,REELEITO,FEMININO,BRANCA,2500500.0,96277,6,10,1,1,ELEITO POR QP
PSDB,SP,CARLOS BEZERRA JR,CARLOS ALBERTO DE QUADROS BEZERRA JUNIOR,1a ELEIÇÃO,MASCULINO,BRANCA,751564.88,76588,61,70,0,1,SUPLENTE
PSL,AM,DELEGADO PABLO,PABLO OLIVA SOUZA,1a ELEIÇÃO,MASCULINO,PARDA,56965.15,151649,2,8,1,1,ELEITO POR QP
DEM,PE,FERNANDO FILHO,FERNANDO BEZERRA DE SOUZA COELHO FILHO,REELEITO,MASCULINO,BRANCA,2023103.0,92188,12,25,1,1,ELEITO POR QP
PSC,RJ,OTONI DE PAULA,OTONI MOURA DE PAULO JUNIOR,1a ELEIÇÃO,MASCULINO,PARDA,275342.97,120498,7,46,1,1,ELEITO POR QP
Progressistas,RO,JAQUELINE CASSOL,DIRLAINE JAQUELINE CASSOL,1a ELEIÇÃO,FEMININO,BRANCA,2410862.0,34193,5,8,1,1,ELEITO POR QP
PSC,PR,PAULO MARTINS,PAULO EDUARDO LIMA MARTINS,1a ELEIÇÃO,MASCULINO,PARDA,1159768.0,118754,7,30,1,1,ELEITO POR QP
Progressistas,TO,LAZARO BOTELHO,LAZARO BOTELHO MARTINS,REELEITO,MASCULINO,BRANCA,1759802.35,40270,8,8,0,1,SUPLENTE
PL,SE,BOSCO COSTA,JOÃO BOSCO DA COSTA,1a ELEIÇÃO,MASCULINO,PARDA,2130630.0,47788,8,8,1,1,ELEITO POR QP
PMN,MA,EDUARDO BRAIDE,EDUARDO SALIM BRAIDE,1a ELEIÇÃO,MASCULINO,BRANCA,448760.0,189843,2,18,1,1,ELEITO POR QP
PMN,MA,PASTOR GILDENEMYR,GILDENEMIR DE LIMA SOUSA,1a ELEIÇÃO,MASCULINO,PARDA,107800.0,47757,24,18,1,0,ELEITO POR MÉDIA
Republicanos,RR,JHONATAN DE JESUS,JOHNATHAN PEREIRA DE JESUS,REELEITO,MASCULINO,PARDA,945545.0,13429,2,8,1,1,ELEITO POR QP
PSD,SC,DARCI DE MATOS,DARCI DE MATOS,1a ELEIÇÃO,MASCULINO,BRANCA,303809.0,68130,15,16,1,1,ELEITO POR QP
PT,MG,LEONARDO MONTEIRO,JOSÉ LEONARDO COSTA MONTEIRO,REELEITO,MASCULINO,PRETA,860395.08,68686,39,53,1,1,ELEITO POR QP
PHS,BA,IGOR KANNARIO,ANDERSON MACHADO DE JESUS,1a ELEIÇÃO,MASCULINO,PARDA,36010.0,54858,45,39,1,0,ELEITO POR QP
DEM,TO,PROFESSORA DORINHA,MARIA AUXILIADORA SEABRA REZENDE,REELEITO,FEMININO,BRANCA,2182658.0,48008,6,8,1,1,ELEITO POR MÉDIA
PSDB,CE,ROBERTO PESSOA,ROBERTO SOARES PESSOA,1a ELEIÇÃO,MASCULINO,PARDA,600671.0,102470,15,22,1,1,ELEITO POR QP
PSD,BA,CHARLES FERNANDES,CHARLES FERNANDES SILVEIRA SANTANA,1a ELEIÇÃO,MASCULINO,PARDA,959636.43,74116,33,39,1,1,ELEITO POR MÉDIA
PSDB,BA,IMBASSAHY,ANTONIO JOSÉ IMBASSAHY DA SILVA,REELEITO,MASCULINO,BRANCA,1551266.81,66320,39,39,0,1,SUPLENTE
PSB,PB,GERVÁSIO MAIA,GERVÁSIO AGRIPINO MAIA,1a ELEIÇÃO,MASCULINO,PARDA,926814.0,146860,1,12,1,1,ELEITO POR QP
PT,RS,MARCON,DIONILSO MATEUS MARCON,REELEITO,MASCULINO,BRANCA,987733.85,122838,5,31,1,1,ELEITO POR QP
Progressistas,MA,ANDRE FUFUCA,ANDRE LUIZ CARVALHO RIBEIRO,REELEITO,MASCULINO,PARDA,2361961.0,105606,9,18,1,1,ELEITO POR QP
PSL,RJ,MÁRCIO LABRE,MÁRCIO DA SILVEIRA LABRE,1a ELEIÇÃO,MASCULINO,PARDA,22595.0,46934,34,46,1,1,ELEITO POR QP
PSOL,RJ,GLAUBER BRAGA,GLAUBER DE MEDEIROS BRAGA,REELEITO,MASCULINO,BRANCA,380718.59,40199,43,46,1,1,ELEITO POR QP
PSB,AL,JHC,JOÃO HENRIQUE HOLANDA CALDAS,REELEITO,MASCULINO,PARDA,1395400.0,178645,1,9,1,1,ELEITO POR QP
Republicanos,MG,GILBERTO ABRAMO,GILBERTO APARECIDO ABRAMO,1a ELEIÇÃO,MASCULINO,BRANCA,1495713.46,162092,6,53,1,1,ELEITO POR QP
PT,SP,NILTO TATTO,NILTO IGNACIO TATTO,REELEITO,MASCULINO,BRANCA,1304856.12,124281,27,70,1,1,ELEITO POR QP
PSD,SP,DR. ELEUSES PAIVA,ELEUSES VIEIRA DE PAIVA,1a ELEIÇÃO,MASCULINO,BRANCA,2106335.0,81160,57,70,0,1,SUPLENTE
MDB,MA,HILDO ROCHA,HILDO AUGUSTO DA ROCHA NETO,REELEITO,MASCULINO,BRANCA,1514823.86,77661,14,18,1,1,ELEITO POR QP
PSC,SE,VALDEVAN NOVENTA,JOSÉ VALDEVAN DE JESUS SANTOS,1a ELEIÇÃO,MASCULINO,PARDA,352193.0,45472,9,8,1,0,ELEITO POR MÉDIA
PSL,PR,FILIPE BARROS,FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,1a ELEIÇÃO,MASCULINO,BRANCA,393006.75,75326,24,30,1,1,ELEITO POR QP
Cidadania,PR,RUBENS BUENO,RUBENS BUENO,REELEITO,MASCULINO,BRANCA,1268662.11,76471,22,30,1,1,ELEITO POR QP
PL,MG,LINCOLN PORTELA,LINCOLN DINIZ PORTELA,REELEITO,MASCULINO,BRANCA,1654850.0,105731,22,53,1,1,ELEITO POR QP
PT,PR,ENIO VERRI,ENIO JOSÉ VERRI,REELEITO,MASCULINO,BRANCA,967474.39,62169,33,30,1,0,ELEITO POR MÉDIA
PSL,SP,LUIZ PHILIPPE O. BRAGANÇA,LUIZ PHILIPPE DE ORLEANS BRAGANÇA,1a ELEIÇÃO,MASCULINO,BRANCA,196625.24,118457,33,70,1,1,ELEITO POR QP
PSDB,GO,CÉLIO SILVEIRA,CÉLIO ANTÔNIO DA SILVEIRA,REELEITO,MASCULINO,BRANCA,1266100.0,70663,14,17,1,1,ELEITO POR MÉDIA
PSDB,AC,MARA ROCHA,CYLMARA FERNANDES DA ROCHA GRIPP,1a ELEIÇÃO,FEMININO,BRANCA,1632865.55,40047,1,8,1,1,ELEITO POR QP
PL,SP,LUIZ CARLOS MOTTA,LUIZ CARLOS MOTTA,1a ELEIÇÃO,MASCULINO,BRANCA,1839505.0,75218,65,70,1,1,ELEITO POR MÉDIA
DEM,SP,ELI CORRÊA FILHO,ADRIANO ELI CORRÊA,REELEITO,MASCULINO,BRANCA,927877.84,92257,47,70,1,1,ELEITO POR MÉDIA
PSB,PR,LUCIANO DUCCI,LUCIANO DUCCI,REELEITO,MASCULINO,BRANCA,2075722.7700000003,98214,13,30,1,1,ELEITO POR QP
PT,BA,VALMIR ASSUNÇÃO,VALMIR CARLOS DA ASSUNÇÃO,REELEITO,MASCULINO,PRETA,988162.5,118313,11,39,1,1,ELEITO POR QP
PSB,PR,ALIEL MACHADO,ALIEL MACHADO BARK,REELEITO,MASCULINO,BRANCA,1450777.23,95386,14,30,1,1,ELEITO POR QP
PSOL,RJ,JEAN WYLLYS,JEAN WYLLYS DE MATOS SANTOS,REELEITO,MASCULINO,PRETA,418735.2299999994,24295,77,46,1,0,ELEITO POR MÉDIA
MDB,RJ,DANIELA DO WAGUINHO,DANIELA MOTE DE SOUZA CARNEIRO,1a ELEIÇÃO,FEMININO,BRANCA,1172263.08,136286,6,46,1,1,ELEITO POR QP
Republicanos,DF,JULIO CESAR,JULIO CESAR RIBEIRO,1a ELEIÇÃO,MASCULINO,BRANCA,1574914.41,79775,4,8,1,1,ELEITO POR QP
PCdoB,SP,ORLANDO SILVA,ORLANDO SILVA DE JESUS JUNIOR,REELEITO,MASCULINO,PRETA,1412808.08,64822,74,70,1,0,ELEITO POR MÉDIA
Progressistas,PR,SCHIAVINATO,JOSE CARLOS SCHIAVINATO,1a ELEIÇÃO,MASCULINO,BRANCA,1163979.51,75540,23,30,1,1,ELEITO POR MÉDIA
PSB,MG,JULIO DELGADO,JULIO CESAR DELGADO,REELEITO,MASCULINO,BRANCA,1617570.0,58413,51,53,1,1,ELEITO POR MÉDIA
PDT,RJ,PAULO RAMOS,PAULO SERGIO RAMOS BARBOZA,1a ELEIÇÃO,MASCULINO,BRANCA,199398.64,25557,72,46,1,0,ELEITO POR QP
PT,PB,FREI ANASTACIO,ANTONIO RIBEIRO,1a ELEIÇÃO,MASCULINO,BRANCA,534813.95,91408,6,12,1,1,ELEITO POR QP
DEM,CE,DR. ANÍBAL,ANÍBAL FERREIRA GOMES,REELEITO,MASCULINO,PARDA,940000.0,78930,20,22,0,1,SUPLENTE
PL,RR,EDIO LOPES,EDIO VIEIRA LOPES,REELEITO,MASCULINO,PARDA,1851184.0,11952,6,8,1,1,ELEITO POR MÉDIA
PT,BA,JOSIAS GOMES,JOSIAS GOMES DA SILVA,REELEITO,MASCULINO,PARDA,944360.0,115571,13,39,1,1,ELEITO POR QP
MDB,CE,MOSES RODRIGUES,MOSES HAENDEL MELO RODRIGUES,REELEITO,MASCULINO,BRANCA,2058500.0,128526,9,22,1,1,ELEITO POR QP
DEM,BA,ARTHUR MAIA,ARTHUR DE OLIVEIRA MAIA DA SILVA,REELEITO,MASCULINO,BRANCA,1451250.0,88908,27,39,1,1,ELEITO POR QP
PT,ES,HELDER SALOMÃO,HELDER IGNACIO SALOMÃO,REELEITO,MASCULINO,BRANCA,919049.77,73384,4,10,1,1,ELEITO POR MÉDIA
PT,SP,VICENTINHO,VICENTE PAULO DA SILVA,REELEITO,MASCULINO,PRETA,940827.67,70645,69,70,1,1,ELEITO POR QP
PDT,BA,FELIX MENDONÇA,FELIX DE ALMEIDA MENDONÇA JUNIOR,REELEITO,MASCULINO,BRANCA,1250355.13,91913,26,39,1,1,ELEITO POR QP
PSDB,PA,CELSO SABINO,CELSO SABINO DE OLIVEIRA,1a ELEIÇÃO,MASCULINO,BRANCA,280454.39,146288,8,17,1,1,ELEITO POR QP
PSL,PE,LUCIANO BIVAR,LUCIANO CALDAS BIVAR,1a ELEIÇÃO,MASCULINO,BRANCA,1950000.0,117943,7,25,1,1,ELEITO POR QP
Patriota,MG,FRED COSTA,FREDERICO BORGES DA COSTA,1a ELEIÇÃO,MASCULINO,BRANCA,1444222.86,87446,31,53,1,1,ELEITO POR QP
PL,RJ,DICA,JORGE MOREIRA THEODORO,1a ELEIÇÃO,MASCULINO,BRANCA,932488.75,39225,45,46,0,1,SUPLENTE
Cidadania,PE,DANIEL COELHO,DANIEL PIRES COELHO,REELEITO,MASCULINO,BRANCA,1450662.89,97745,11,25,1,1,ELEITO POR QP
PDT,CE,EDUARDO BISMARCK,EDUARDO HENRIQUE MAIA BISMARCK,1a ELEIÇÃO,MASCULINO,BRANCA,510449.14,87009,19,22,1,1,ELEITO POR MÉDIA
MDB,MT,JUAREZ COSTA,JUAREZ ALVES DA COSTA,1a ELEIÇÃO,MASCULINO,PARDA,401288.0,49912,10,8,1,0,ELEITO POR MÉDIA
PROS,PR,BOCA ABERTA,EMERSON MIGUEL PETRIV,1a ELEIÇÃO,MASCULINO,BRANCA,254200.0,90158,19,30,1,1,ELEITO POR QP
PSL,SC,DANIEL FREITAS,DANIEL COSTA DE FREITAS,1a ELEIÇÃO,MASCULINO,BRANCA,329200.0,142571,2,16,1,1,ELEITO POR QP
PSC,TO,OSIRES DAMASO,OSIRES RODRIGUES DAMASO,1a ELEIÇÃO,MASCULINO,PARDA,527040.09,58726,2,8,1,1,ELEITO POR QP
DEM,TO,CARLOS HENRIQUE GAGUIM,CARLOS HENRIQUE AMORIM,REELEITO,MASCULINO,BRANCA,1028888.15,48012,5,8,1,1,ELEITO POR QP
