SG_PARTIDO,SG_UF,NM_URNA_CANDIDATO,NM_CANDIDATO,ELEITO_ANTERIOR,DS_GENERO,DS_COR_RACA,receita_total,QT_VOTOS_NOMINAIS,POSICAO,QT_VAGAS,ELEITO_REAL,ELEITO_DISTRITAO,DS_SIT_TOT_TURNO
PDT,RS,POMPEO DE MATTOS,DARCI POMPEO DE MATTOS,REELEITO,MASCULINO,BRANCA,607780.0,80427,26,31,1,1,ELEITO POR QP
PSL,SP,GUIGA PEIXOTO,JOSÉ GUILHERME NEGRÃO PEIXOTO,1a ELEIÇÃO,MASCULINO,BRANCA,137984.32,31718,131,70,1,0,ELEITO POR QP
MDB,PI,MARCOS AURELIO SAMPAIO,MARCOS AURELIO PADUA RIBEIRO GONÇALVES DE SAMPAIO,1a ELEIÇÃO,MASCULINO,BRANCA,544504.03,73302,8,10,1,1,ELEITO POR MÉDIA
Progressistas,GO,ADRIANO DO BALDY,ADRIANO ANTÔNIO AVELAR,1a ELEIÇÃO,MASCULINO,BRANCA,2400382.0,77729,12,17,1,1,ELEITO POR MÉDIA
Republicanos,SC,HÉLIO COSTA,HÉLIO FRANCISCO DA COSTA,1a ELEIÇÃO,MASCULINO,PRETA,803873.06,179307,1,16,1,1,ELEITO POR QP
PSDB,SC,GEOVANIA DE SA,GEOVANIA DE SA RODRIGUES,REELEITO,FEMININO,BRANCA,2068810.0,101937,5,16,1,1,ELEITO POR QP
PT,AL,PAULÃO,PAULO FERNANDO DOS SANTOS,REELEITO,MASCULINO,PARDA,1032000.0,60900,8,9,1,1,ELEITO POR MÉDIA
PSD,ES,NEUCIMAR FRAGA,NEUCIMAR FERREIRA FRAGA,1a ELEIÇÃO,MASCULINO,PARDA,994142.26,53787,9,10,0,1,SUPLENTE
PT,AM,JOSÉ RICARDO,JOSE RICARDO WENDLING,1a ELEIÇÃO,MASCULINO,BRANCA,475719.07,197270,1,8,1,1,ELEITO POR QP
PSD,AL,MARX BELTRÃO,MARX BELTRÃO LIMA SIQUEIRA,REELEITO,MASCULINO,BRANCA,1073621.9400000002,139458,3,9,1,1,ELEITO POR QP
Republicanos,SP,VINICIUS CARVALHO,VINICIUS RAPOZO DE CARVALHO,REELEITO,MASCULINO,BRANCA,1243290.5,97862,44,70,1,1,ELEITO POR QP
Progressistas,MG,RENATO ANDRADE,RENATO BARBOSA DE ANDRADE,1a ELEIÇÃO,MASCULINO,BRANCA,1944126.49,62448,46,53,0,1,SUPLENTE
PSDB,RS,DANIEL DA TV,DANIEL TRZECIAK DUARTE,1a ELEIÇÃO,MASCULINO,BRANCA,192305.3,74789,27,31,1,1,ELEITO POR MÉDIA
PSD,RR,HAROLDO CATHEDRAL,HAROLDO ALVES CAMPOS,1a ELEIÇÃO,MASCULINO,BRANCA,1208667.5599999998,14751,1,8,1,1,ELEITO POR QP
PSC,PE,ANDRE FERREIRA,ANDRE FERREIRA RODRIGUES,1a ELEIÇÃO,MASCULINO,BRANCA,898086.04,175834,3,25,1,1,ELEITO POR QP
PT,PE,CARLOS VERAS,JOSÉ CARLOS VERAS DOS SANTOS,1a ELEIÇÃO,MASCULINO,BRANCA,458735.14,72005,21,25,1,1,ELEITO POR QP
Republicanos,AM,CAPITÃO ALBERTO NETO,ALBERTO BARROS CAVALCANTE NETO,1a ELEIÇÃO,MASCULINO,PARDA,884703.59,107168,5,8,1,1,ELEITO POR QP
Podemos,SP,ROBERTO DE LUCENA,ROBERTO ALVES DE LUCENA,REELEITO,MASCULINO,BRANCA,1244938.0,56033,83,70,1,0,ELEITO POR MÉDIA
PTB,RS,SANTINI,RONALDO SANTINI,1a ELEIÇÃO,MASCULINO,BRANCA,963100.0,68178,29,31,0,1,SUPLENTE
