ANO_ELEICAO,SG_UE,SQ_CANDIDATO,NR_TURNO,QT_VOTOS_NOMINAIS
2018,GO,90000618681,1,369
2018,GO,90000618682,1,281
2018,GO,90000618684,1,61
2018,GO,90000618685,1,38278
2018,GO,90000618688,1,543
2018,GO,90000618689,1,3930
2018,GO,90000618690,1,106
2018,GO,90000618691,1,10645
2018,GO,90000618692,1,360
2018,GO,90000618693,1,312
2018,GO,90000618694,1,1165
2018,GO,90000618695,1,8409
2018,GO,90000618696,1,599
2018,GO,90000618697,1,346
2018,GO,90000618698,1,848
2018,GO,90000618699,1,1537
2018,GO,90000618700,1,510
2018,GO,90000618701,1,297
2018,GO,90000618702,1,242
2018,GO,90000618703,1,4867
2018,GO,90000618704,1,384
2018,GO,90000618705,1,310
2018,GO,90000618706,1,161
2018,GO,90000618707,1,3619
2018,GO,90000618708,1,138
2018,GO,90000618709,1,659
2018,GO,90000618710,1,488
2018,GO,90000618711,1,3202
2018,GO,90000618712,1,2727
2018,GO,90000618713,1,17729
2018,GO,90000618806,1,4500
2018,GO,90000618808,1,0
2018,GO,90000618811,1,328
2018,GO,90000618812,1,294
2018,GO,90000618884,1,19583
2018,GO,90000618885,1,6474
2018,GO,90000618886,1,4922
2018,GO,90000618887,1,845
2018,GO,90000618888,1,12993
2018,GO,90000618889,1,1987
2018,GO,90000618890,1,165
2018,GO,90000618891,1,349
2018,GO,90000618892,1,9121
2018,GO,90000618893,1,351
2018,GO,90000618894,1,190
2018,GO,90000618895,1,420
2018,GO,90000618896,1,59
2018,GO,90000618898,1,845
2018,GO,90000618900,1,101
2018,GO,90000618902,1,74
2018,GO,90000618903,1,172
2018,GO,90000618904,1,879
2018,GO,90000618905,1,345
2018,GO,90000618906,1,137
2018,GO,90000618907,1,8637
2018,GO,90000618908,1,407
2018,GO,90000618909,1,112
2018,GO,90000618910,1,1448
2018,GO,90000618911,1,3597
2018,GO,90000618912,1,1560
2018,GO,90000618913,1,299
2018,GO,90000618914,1,3814
2018,GO,90000618915,1,2558
2018,GO,90000618916,1,871
2018,GO,90000618917,1,0
2018,GO,90000618918,1,5858
2018,GO,90000618919,1,0
2018,GO,90000618920,1,171
2018,GO,90000618921,1,160
2018,GO,90000618922,1,9397
2018,GO,90000618923,1,838
2018,GO,90000618924,1,1612
2018,GO,90000618925,1,110
2018,GO,90000618926,1,701
2018,GO,90000618927,1,16745
2018,GO,90000618928,1,283
2018,GO,90000618929,1,402
2018,GO,90000618930,1,23466
2018,GO,90000618931,1,2115
2018,GO,90000618932,1,553
2018,GO,90000618933,1,148
2018,GO,90000619096,1,3038
2018,GO,90000619097,1,595
2018,GO,90000619098,1,39283
2018,GO,90000619099,1,976
2018,GO,90000619100,1,36998
2018,GO,90000619101,1,271807
2018,GO,90000619102,1,1757
2018,GO,90000619103,1,194
2018,GO,90000619104,1,410
2018,GO,90000619105,1,101743
2018,GO,90000619106,1,7917
2018,GO,90000619107,1,132773
2018,GO,90000619110,1,1316
2018,GO,90000619111,1,2120
2018,GO,90000619112,1,83063
2018,GO,90000619113,1,266
2018,GO,90000619114,1,1516
2018,GO,90000619115,1,70
2018,GO,90000619116,1,1655
2018,GO,90000619117,1,233
2018,GO,90000619118,1,257
2018,GO,90000619120,1,317
2018,GO,90000619121,1,1034
2018,GO,90000619122,1,6687
2018,GO,90000619123,1,388
2018,GO,90000619124,1,3614
2018,GO,90000619125,1,14794
2018,GO,90000619126,1,941
2018,GO,90000619127,1,188
2018,GO,90000619128,1,847
2018,GO,90000619129,1,12668
2018,GO,90000619130,1,336
2018,GO,90000619131,1,469
2018,GO,90000619132,1,841
2018,GO,90000619133,1,2974
2018,GO,90000619134,1,1728
2018,GO,90000619135,1,667
2018,GO,90000619136,1,0
2018,GO,90000619137,1,1769
2018,GO,90000619138,1,138
2018,GO,90000619143,1,291
2018,GO,90000619144,1,1413
2018,GO,90000619145,1,321
2018,GO,90000619146,1,382
2018,GO,90000619147,1,126
2018,GO,90000619149,1,48
2018,GO,90000619150,1,1700
2018,GO,90000619151,1,226
2018,GO,90000619153,1,105
2018,GO,90000619154,1,118
2018,GO,90000619157,1,3724
2018,GO,90000619159,1,3762
2018,GO,90000619160,1,925
2018,GO,90000619161,1,14
2018,GO,90000619162,1,690
2018,GO,90000619163,1,1054
2018,GO,90000619164,1,807
2018,GO,90000619166,1,1038
2018,GO,90000619168,1,347
2018,GO,90000619169,1,2874
2018,GO,90000619170,1,513
2018,GO,90000620354,1,49766
2018,GO,90000620355,1,67130
2018,GO,90000620356,1,26428
2018,GO,90000620357,1,70663
2018,GO,90000620358,1,78431
2018,GO,90000620359,1,67729
2018,GO,90000620360,1,0
2018,GO,90000620362,1,8519
2018,GO,90000620363,1,27801
2018,GO,90000620364,1,56705
2018,GO,90000620365,1,111788
2018,GO,90000620366,1,641
2018,GO,90000620367,1,3597
2018,GO,90000620368,1,325
2018,GO,90000620369,1,74877
2018,GO,90000620370,1,0
2018,GO,90000620371,1,0
2018,GO,90000620372,1,50909
2018,GO,90000620373,1,1445
2018,GO,90000620374,1,88894
2018,GO,90000620375,1,1357
2018,GO,90000620376,1,215
2018,GO,90000620413,1,2400
2018,GO,90000620414,1,6343
2018,GO,90000620415,1,8370
2018,GO,90000620416,1,36456
2018,GO,90000620417,1,3606
2018,GO,90000620418,1,5924
2018,GO,90000620419,1,27864
2018,GO,90000620420,1,598
2018,GO,90000620421,1,9718
2018,GO,90000620422,1,31407
2018,GO,90000620423,1,35040
2018,GO,90000620424,1,28505
2018,GO,90000620425,1,8226
2018,GO,90000620426,1,24484
2018,GO,90000620427,1,41362
2018,GO,90000620428,1,38788
2018,GO,90000620429,1,638
2018,GO,90000620430,1,21194
2018,GO,90000620431,1,29286
2018,GO,90000620432,1,211
2018,GO,90000620433,1,328
2018,GO,90000620434,1,281
2018,GO,90000620435,1,86
2018,GO,90000620436,1,797
2018,GO,90000620438,1,165
2018,GO,90000620439,1,129
2018,GO,90000620440,1,134
2018,GO,90000620441,1,456
2018,GO,90000620442,1,651
2018,GO,90000620443,1,262
2018,GO,90000620444,1,37550
2018,GO,90000620445,1,2049
2018,GO,90000620446,1,1545
2018,GO,90000620447,1,0
2018,GO,90000620448,1,791
2018,GO,90000620449,1,349
2018,GO,90000620450,1,218
2018,GO,90000620451,1,788
2018,GO,90000620452,1,11
2018,GO,90000620453,1,346
2018,GO,90000620454,1,10670
2018,GO,90000620455,1,1638
2018,GO,90000620456,1,228
2018,GO,90000620457,1,481
2018,GO,90000620458,1,2666
2018,GO,90000620459,1,691
2018,GO,90000620460,1,30576
2018,GO,90000620461,1,1138
2018,GO,90000620463,1,6389
2018,GO,90000620625,1,401
2018,GO,90000620626,1,437
2018,GO,90000620627,1,0
2018,GO,90000620628,1,7156
2018,GO,90000620629,1,133
2018,GO,90000620630,1,526
2018,GO,90000620631,1,8364
2018,GO,90000620632,1,339
2018,GO,90000620633,1,415
2018,GO,90000620634,1,195
2018,GO,90000620635,1,900
2018,GO,90000620636,1,1511
2018,GO,90000620637,1,5834
2018,GO,90000620638,1,569
2018,GO,90000620639,1,460
2018,GO,90000620640,1,3970
2018,GO,90000620641,1,14256
2018,GO,90000620642,1,13
2018,GO,90000620643,1,32
2018,GO,90000620644,1,81
2018,GO,90000620645,1,1195
2018,GO,90000620646,1,5247
2018,GO,90000620647,1,3293
2018,GO,90000620648,1,0
2018,GO,90000620649,1,1840
2018,GO,90000620650,1,2868
2018,GO,90000620651,1,371
2018,GO,90000620652,1,20
2018,GO,90000620653,1,555
2018,GO,90000620654,1,6516
2018,GO,90000620655,1,28
2018,GO,90000620656,1,701
2018,GO,90000620657,1,5866
2018,GO,90000620659,1,1550
2018,GO,90000620660,1,1899
2018,GO,90000620661,1,58
2018,GO,90000620662,1,17
2018,GO,90000620663,1,218
2018,GO,90000620665,1,1350
2018,GO,90000620667,1,11
2018,GO,90000620668,1,50
2018,GO,90000621003,1,1276
2018,GO,90000621005,1,20623
2018,GO,90000621006,1,6534
2018,GO,90000621192,1,0
2018,GO,90000621434,1,417
2018,GO,90000621435,1,890
2018,GO,90000621436,1,1606
2018,GO,90000621437,1,514
2018,GO,90000621438,1,1994
2018,GO,90000621439,1,912
2018,GO,90000621440,1,667
2018,GO,90000621441,1,438
2018,GO,90000621442,1,4
2018,GO,90000621443,1,3339
2018,GO,90000621444,1,18
2018,GO,90000621445,1,354
2018,GO,90000621446,1,1440
2018,GO,90000621706,1,8127
2018,GO,90000621707,1,19213
2018,GO,90000621708,1,20845
2018,GO,90000621709,1,1611
2018,GO,90000621710,1,205
2018,GO,90000621711,1,0
2018,GO,90000621712,1,119
